generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1774311223-bzq5jB9CG2tTOif8UTrr,2026-03-24 00:13:43.707,0.000653,,,0,0,2178,544,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,11030,482,,libri
gen-1774311220-uz794LM2WPN4NoaBtg1s,2026-03-24 00:13:40.918,0.000982,,,,0,2239,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,48226,209,,libri
gen-1774311220-zyadXPLUUBC6F7rfGd3T,2026-03-24 00:13:40.637,0.000705,,,0,0,2304,599,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,10945,421,,libri
gen-1774311217-dh1EJKz7SqafQfOjmMzd,2026-03-24 00:13:37.018,0.000981,,,,0,2231,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,62289,207,,libri
gen-1774311215-Ll6cx3JRKbKtxTMOOJSp,2026-03-24 00:13:35.298,0.000636,,,0,0,2228,503,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,8189,365,,libri
gen-1774311213-Eqp2PzEmfViqPoAmUsbA,2026-03-24 00:13:33.320,0.000655,,,0,0,2047,580,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,12943,623,,libri
gen-1774311205-7gSVGQt2tkZhidcQsBtT,2026-03-24 00:13:25.280,0.000684,,,0,0,2254,577,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,11978,510,,libri
gen-1774311198-f5lP1btRG5HhkJn1WAvs,2026-03-24 00:13:18.354,0.00098,,,,0,2208,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,47642,195,,libri
gen-1774311195-oCsoUL4Jv4vAOvQ8FblN,2026-03-24 00:13:15.914,0.00055,,,0,0,1616,513,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,14865,480,,libri
gen-1774311182-zVp06agYRkHkVzwNnYBj,2026-03-24 00:13:02.566,0.000975,,,,0,2105,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,49009,165,,libri
gen-1774311180-9dXlV8VP72KLGz41ddBV,2026-03-24 00:13:00.782,0.000631,,,0,0,2189,505,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,13593,782,,libri
gen-1774311176-VvEUwfjkMLjD2QSn0FRi,2026-03-24 00:12:56.792,0.000978,,,,0,2163,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,47807,211,,libri
gen-1774311172-1AD0XYyvAvIZl3caz4DC,2026-03-24 00:12:52.727,0.000973,,,,0,2067,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,61368,210,,libri
gen-1774311172-g4LMJSlKitDj1fKzw8gX,2026-03-24 00:12:52.705,0.000972,,,,0,2046,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,40509,194,,libri
gen-1774311171-KQiPrgPmE44piQWsWXlz,2026-03-24 00:12:51.817,0.000979,,,,0,2177,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,51820,186,,libri
gen-1774311171-yU0h0LEIg801V3RJm7yH,2026-03-24 00:12:51.185,0.000985,,,,0,2303,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,49373,347,,libri
gen-1774311167-wRmfr88DLSXzfvNQNAVb,2026-03-24 00:12:47.336,0.000643,,,0,0,2200,523,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,10475,466,,libri
gen-1774311165-9wvu2uljyXnmt7p0mIYM,2026-03-24 00:12:45.058,0.000981,,,,0,2227,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,50145,339,,libri
gen-1774311163-Y08yXyDSUlgu3iOfH4mO,2026-03-24 00:12:43.216,0.000983,,,,0,2253,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,41974,282,,libri
gen-1774311162-0jXzdP5qVe2Oer6njkTO,2026-03-24 00:12:42.445,0.000667,,,0,0,2204,562,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,11218,610,,libri
gen-1774311158-3fl8OxH5xJkNg5Z0WE9n,2026-03-24 00:12:38.020,0.000566,,,0,0,1978,449,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,9713,480,,libri
gen-1774311156-d2WBNUhnxYPavGnWbCmm,2026-03-24 00:12:36.406,0.000613,,,0,0,2200,472,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,10134,388,,libri
gen-1774311156-BlzeSQeuqeAKpYisXfRY,2026-03-24 00:12:36.397,0.000652,,,0,0,2163,547,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,11551,429,,libri
gen-1774311155-a6he8gbXGnrSue4ieyKk,2026-03-24 00:12:35.285,0.000668,,,0,0,2225,558,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,12620,389,,libri
gen-1774311150-sZvqVMWKrg6f8fmaRQYH,2026-03-24 00:12:30.781,0.000643,,,0,0,2253,510,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,9509,404,,libri
gen-1774311149-wVK1rv6HOoHCgEmXjZ9d,2026-03-24 00:12:29.727,0.00064,,,0,0,2004,567,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,8769,380,,libri
gen-1774311138-yBa34HGaHIQRAHqlAmi8,2026-03-24 00:12:18.288,0.000979,,,,0,2188,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,42401,186,,libri
gen-1774311134-k5cE5E13vl8ZeZuAapLp,2026-03-24 00:12:14.039,0.000951,,,,0,1615,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,61789,195,,libri
gen-1774311124-hWs42u8BuutpUxZJSIlA,2026-03-24 00:12:04.894,0.00035,,,0,0,969,342,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,7677,353,,libri
gen-1774311114-MmmCymz9DQmmAgCQSBf8,2026-03-24 00:11:54.244,0.00098,,,,0,2203,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,48127,160,,libri
gen-1774311113-YTJrMJ7CgHA7FbMwpslS,2026-03-24 00:11:53.736,0.000983,,,,0,2252,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,36969,178,,libri
gen-1774311113-uB8BquhUkMSadEfm9xrP,2026-03-24 00:11:53.623,0.000969,,,,0,1977,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,44374,187,,libri
gen-1774311113-HGYeEdy7v3DBxINqN8kC,2026-03-24 00:11:53.583,0.000603,,,,0,2025,1256,1152,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,stop,19402,19204,,libri
gen-1774311111-Eq2ZG3peQbXKZyKnb4nn,2026-03-24 00:11:51.978,0.000981,,,,0,2224,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,43241,231,,libri
gen-1774311111-UMp3xjlv1MVioMNkVRR0,2026-03-24 00:11:51.946,0.00098,,,,0,2199,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,44376,290,,libri
gen-1774311111-qDMt67uzvO7hxjsBreEc,2026-03-24 00:11:51.398,0.00098,,,,0,2199,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,55845,200,,libri
gen-1774311111-hIsR432j1wu89Fp81DDd,2026-03-24 00:11:51.389,0.000562,,,,0,2050,1150,1024,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,stop,16311,16101,,libri
gen-1774311110-52cfVjFSMM8lzwFDKKWO,2026-03-24 00:11:50.677,0.00097,,,,0,2003,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,38960,420,,libri
gen-1774311110-0SbOPc2V3jtLswZNGorT,2026-03-24 00:11:50.641,0.000978,,,,0,2162,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,45669,420,,libri
gen-1774311097-hDrUaipze9BuynfkzmWA,2026-03-24 00:11:37.794,0.000363,,,,0,1029,781,704,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,stop,7221,7147,,libri
